Formal_Name_and_Room,Street_Address,Latitude,Longitude
Blue Phone 01 ANSOC @ Northwest Marine Drive,6303 N W MARINE DR at ANSOC Building,49.26973,-123.25721
Blue Phone 03 Flagpole Plaza @ Main Mall & Crescent Road ,Main Mall & Crescent Road,49.26894, -123.25657
Blue Phone 04 Wyman Plaza @ Main Mall & Memorial Road ,Main Mall & Memorial Road, 49.26777, -123.25504
Blue Phone 05 Ponderosa F @ Lower Mall & Pedestrian Path     ,2008 LOWER MALL Ponderosa Annex F, 49.26497, -123.25755
Blue Phone 06 Ponderosa A @ West Mall & Agricultural Road     ,2011 WEST MALL Ponderosa Annex A, 49.26534, -123.25625
Blue Phone 07 Hennings @ East Mall & Agricultural Road     ,6224 AGRICULTURAL RD/EAST MALL Hennings Bldg, 49.26697, -123.25183
Blue Phone 08 North Parkade @ Student Union Plaza ,6115 STUDENT UNION BLVD Outside North Parkade, 49.26847, -123.25109
Blue Phone 09 IRC @ Health Sciences Plaza ,2194 HEALTH SCIENCES MALL, 49.2651, -123.24738
Blue Phone 10 Biological Sciences @ Main Mall & University Blvd     ,6270 UNIVERSITY BLVD Biological Sciences Bldg, 49.26471, -123.25227
Blue Phone 11 Earth Sciences Building @ Main Mall & Stores Road ,2207 MAIN MALL, 49.26253, -123.25111
Blue Phone 12 Earth & Ocean Sciences @ Stores Road at EOS ,6339 STORES RD, 49.26195, -123.25239
Blue Phone 13 Ritsumeikan @ West Mall at Ritsumeikan ,6460 AGRONOMY RD/WEST MALL Ritsumeikan House, 49.26008, -123.25207
Blue Phone 14 MacMillan @ Main Mall & Agronomy Rd,2357 MAIN MALL H.R. MacMILLAN Bldg, 49.26053, -123.24954
Blue Phone 15 Brock Hall @ East Mall at Memorial Road     ,1874 EAST MALL BROCK Hall, 49.26843, -123.25254
Blue Phone 16 Old Barn Community Centre @ Main Mall & Thunderbird Blvd    ,6308 THUNDERBIRD Blvd Old Barn Community Ctr, 49.25932, -123.24815
Blue Phone 17 Rhododendron Wood @ Main Mall & Eagles Drive ,Main MallÂ , 49.25758, -123.24671
Blue Phone 18 Life Sciences @ Health Sciences Mall & Agronomy Rd. ,2350 HEALTH SCIENCES MALL Life Sciences Ctr, 49.26187, -123.24574
Blue Phone 19 Frank Forward @ Rear Lane of Frank Forward     ,6350 STORES RD Rear Frank FORWARD Bldg, 49.26146, -123.25169
Blue Phone 02 CK Choi @ West Mall & Crescent Road ,1855 WEST MALL CHOI Bldg, 49.26789, -123.25827
Blue Phone 20 Chemistry Physics @ East Mall & University Blvd.    ,6221 UNIVERSITY BLVD Chemistry A Block, 49.26575, -123.25084
Blue Phone 21 Chemistry East @ Main Mall & Agricultural Road ,2036 MAIN MALL, 49.26616, -123.25372
Blue Phone 22 Buchanan D @ Crescent Road at Buchanan D  ,1866 MAIN MALL/CRESCENT RD Buchanan Bldgs, 49.26948, -123.25443
Blue Phone 23 Fraser River Parkade @ Memorial Rd at Fraser River Parkade ,6441 MEMORIAL RD Fraser River Parkade, 49.26658, -123.25782
Blue Phone 24 Nitobe Garden @ Memorial Rd & Lower Mall ,1895 LOWER MALL NITOBE Gardens, 49.26612, -123.25867
Blue Phone 25 St. John's @ Lower Mall & University Blvd.  ,2111 LOWER MALL St John's College, 49.26331, -123.25635
Blue Phone 26 Jack Bell @ West Mall & University Blvd    ,2080 WEST MALL Jack BELL School of Social Work, 49.26421, -123.25494
Blue Phone 27 West Parkade @ Lower Mall & Pedestrian Path at West Parkade ,2140 LOWER MALL, 49.26201, -123.25514
Blue Phone 28 BRDF @ Lower Mall & Agronomy Road    ,2337 LOWER MALL & AGRONOMY Rd, 49.26031, -123.25394
Blue Phone 29 CIRS @ West Mall & Stores Road    ,2260 WEST MALL & STORES Rd, 49.26166, -123.25331
Blue Phone 30 Totem Park @ West Mall & Thunderbird Blvd ,2525 WEST MALL & THUNDERBIRD Blvd, 49.25846, -123.25067
Blue Phone 31 Tennis Centre @ Thunderbird & East Mall    ,6160 THUNDERBIRD BLVD & EAST MALL, 49.26008, -123.24562
Blue Phone 32 TBIRD Parkade @ West Mall & Thunderbird    ,6085 THUNDERBIRD BLVD & WEST MALL, 49.26165, -123.24189
Blue Phone 33 Pulp & Paper @ East Mall & Argonomy Road    ,2385 EAST MALL & Agronomy Rd at Pulp & Paper Centre, 49.26143, -123.24712
Blue Phone 34 SPPH @ Health Sciences Mall & Hospital Lane ,2206 East Mall, 49.2642, -123.2479
Blue Phone 35 CEME East Mall & Applied Science Lane    ,6250 APPLIED SCIENCE LN at EAST MALL, 49.2631, -123.2484
Blue Phone 36 Iona Building South Side,6000 Iona Drive South Side of IONA Building, 49.27083, -123.25009
Blue Phone 37 UBC Exchange Bus Loop East - NE Side of Transit Loop,UBC Exchange Bus Loop Wesbrook Mall N of University Blvd, 49.26755, -123.24755
Blue Phone 38 Exchange North,UBC Exchange, 49.26833, -123.24817
Blue Phone 39 FUTURE: Diesel Bus Loop,UBC Exchange, 49.26755, -123.24755
Blue Phone 40 Tallwood House - Walter Gage Rd NE of Brock Commons,6088 House Walter GAGE Rd NE of Brock Commons, 49.26974, -123.25097
Blue Phone 41 Thunderbird Park pedestrian pathway near Soccer Centre,3065 Wesbrook Mall pathway near Soccer Centre, 49.26753, -123.25268
Blue Phone 42 IK Barber 1st Floor Wall Unit,1961 EAST MALL,49.26753, -123.25268
Blue Phone 43 IK Barber 2nd Floor Wall Unit,1961 EAST MALL,49.26753, -123.25268
Blue Phone 44 IK Barber 3rd Floor Wall Unit,1961 EAST MALL,49.26753, -123.25268
Blue Phone 45 IK Barber 4th Floor Wall Unit,1961 EAST MALL,49.26753, -123.25268
Blue Phone 46 Vantage College Agronomy & West Mall,6363 Agronomy Road Vantage College, 49.26039, -123.25096
Blue Phone 47 Fraser River Parkade North Entrance Level 1,6441 Memorial Rd Fraser River Parkade North Entrance Level 1, 49.26625, -123.2579
Blue Phone 48 Fraser River Parkade South West Level 1,6441 Memorial Rd Fraser River Parkade South West Level 1, 49.26568, -123.25827
Blue Phone 49 Fraser River Parkade South East Level 1,6441 Memorial Rd Fraser River Parkade South East Level 1, 49.26596, -123.25746
Blue Phone 50 Fraser River Parkade North East Level 2,6441 Memorial Rd Fraser River Parkade North East Level 2, 49.26627, -123.25786
Blue Phone 51 Health Sciences Parkade South East Ground Level,2250 Health Sciences Mall South East Ground Level, 49.2633, -123.24768
Blue Phone 52 Health Sciences Parkade South West Ground Level,2250 Health Sciences Mall South West Ground Level, 49.2633, -123.24768
Blue Phone 53 Health Sciences Parkade North East Bottom Level,2250 Health Sciences Mall, 49.2633, -123.24768
Blue Phone 54 Health Sciences Parkade North West Roof Top Level 5,2250 Health Sciences Mall, 49.2633, -123.24768
Blue Phone 56 North Parkade South East Level 3,6115 Student Union Boulevard South East Level 3,49.26895, -123.25095
Blue Phone 57 North Parkade South Entrance Level 3,6115 Student Union Boulevard South Entrance Level 3, 49.26895, -123.25095
Blue Phone 58 North Parkade South Exit Level 2,6115 Student Union Boulevard South Exit Level 2, 49.26895, -123.25095
Blue Phone 59 North Parkade North West Level 2,6115 Student Union Boulevard North West Level 2, 49.26895, -123.25095
Blue Phone 60 North Parkade North East Level 3,6115 Student Union Boulevard North East Level 3, 49.26895, -123.25095
Blue Phone 61 North Parkade South Side Rooftop Level 8,6115 Student Union Boulevard South Side Rooftop Level 8, 49.26895, -123.25095
Blue Phone 62 Rose Garden Parkade Elevator Level 5,6278 NW Marine Drive Elevator Level 5,49.26945, -123.25658
Blue Phone 63 Rose Garden Parkade Elevator Level 4,6278 NW Marine Drive Elevator Level 4,49.26945, -123.25658
Blue Phone 64 Rose Garden Parkade Elevator Level 3,6278 NW Marine Drive Elevator Level 3,49.26945, -123.25658
Blue Phone 65 Rose Garden Parkade Elevator Level 2,6278 NW Marine Drive Elevator Level 2,49.26945, -123.25658
Blue Phone 66 Rose Garden Parkade Elevator Level 1,6278 NW Marine Drive Elevator Level 1,49.26945, -123.25658
Blue Phone 67 Thunderbird Parkade North West Level 1,6085 Thunderbird Blvd North West Level 1,49.26159, -123.24303
Blue Phone 68 Thunderbird Parkade West Level 1,6085 Thunderbird Blvd West Level 1,49.26159, -123.24303
Blue Phone 69 Thunderbird Parkade South East Level 1,6085 Thunderbird Blvd South East Level 1, 49.26159, -123.24303
Blue Phone 70 Thunderbird Parkade North East Level 1,6085 Thunderbird Blvd North East Level 1, 49.26159, -123.24303
Blue Phone 71 West Parkade North West Entrance Level 1,2140 Lower Mall, 49.26281, -123.25539
Blue Phone 72 West Parkade South Level 2,2140 Lower Mall, 49.26281, -123.25539
Blue Phone 73 West Parkade North Level 2,2140 Lower Mall, 49.26281, -123.25539
Blue Phone 74 West Parkade North East Level 4,2140 Lower Mall, 49.26281, -123.25539
Blue Phone 75 West Parkade South East Level 4,2140 Lower Mall, 49.26281, -123.25539
Blue Phone 76 West Parkade North Rooftop Level 11,2140 Lower Mall, 49.26281, -123.25539
Blue Phone 77 Fairview Crescent & Osoyoos Crescent,Fairview Crescent & Osoyoos Crescent, 49.26246, -123.2388
Blue Phone 78 Osoyoos Crescent & Oyama Court,Osoyoos Crescent & Oyama Court,49.26072, -123.2382
Blue Phone 79 Point Grey Apartments,Osoyoos Crescent & Salmo Court,49.25961,-123.23727
Blue Phone 80 Osoyoos Crescent & Acadia Park Lane,Osoyoos Crescent & Acadia Park Lane,49.25967,-123.23522
Blue Phone 81 University Blvd Lot Stairs 1,Blue Phone 81 University Blvd Lot Stairs 1,49.26659,-123.24925
Blue Phone 82 University Blvd Lot Stairs 2,Blue Phone 82 University Blvd Lot Stairs 2,49.26662,-123.24912
Blue Phone 83 University Blvd Lot Stairs 3,Blue Phone 83 University Blvd Lot Stairs 3,49.26662,-123.24912
Blue Phone 84 University Blvd Lot Stairs 4,Blue Phone 84 University Blvd Lot Stairs 4,49.26662,-123.24912
Blue Phone 55 Health Science Pkd Rooftop Level 5,2250 Health Sciences Mall,49.2633, -123.24768
Blue Phone 85 Saltwater Orca House,5965 Student Union Blvd,49.26875,-123.24971
Blue Phone 86 Saltwater Sturgeon House,5955 Student Union Blvd,49.26915,-123.24856
Blue Phone 87,Saltwater Herring House,49.26927,-123.248
Blue Phone 88,Saltwater Sea Otter House,49.27007,-123.24837
Blue Phone 89,Saltwater Octopus House,49.27075,-123.24798
